unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,B-E,EMP_DC,AT	699.99 	689.29 	685.03 	684.17 	687.77 	678.93 	667.63 	680.28 	705.64 	698.54 	684.40 	684.27 	684.24 	689.91 	693.08 	708.64 	706.51 	708.77 	709.57 	707.90 	719.33 	736.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,BE	555.30 	555.10 	563.10 	576.70 	589.20 	596.80 	593.80 	611.40 	636.50 	635.80 	638.90 	643.30 	649.00 	661.80 	681.00 	704.70 	697.40 	690.60 	699.00 	699.90 	709.20 	719.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,BG	700.48 p	695.06 p	681.68 p	680.40 p	700.15 p	712.75 	720.25 	767.67 	851.85 	835.58 	810.21 	786.85 	772.47 	758.85 	753.39 	746.05 	764.81 	779.03 	891.27 	896.61 	937.91 	935.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,CH	724.26 	723.61 	720.39 	711.56 	723.80 	725.13 	709.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,CY	34.01 p	33.27 p	32.63 	34.08 	37.60 	40.01 	41.12 	42.29 	42.98 	42.94 	41.95 	41.47 	39.38 	38.37 	37.17 	37.77 	39.33 	40.73 	42.35 	43.37 	44.82 	46.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,CZ	1534.54 	1495.89 	1453.93 	1433.96 	1436.62 	1423.91 	1378.60 	1422.36 	1535.54 	1524.06 	1486.22 	1479.53 	1444.97 	1430.83 	1479.12 	1482.72 	1480.86 	1512.45 	1589.67 	1618.51 	1613.73 	1537.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,DE	8104.00 	8087.00 	8068.00 	8022.00 	7994.00 	7854.00 	7705.00 	7844.00 	8022.00 	7839.00 	7734.00 	7818.00 	7950.00 	8063.00 	8287.00 	8456.00 	8464.00 	8399.00 	8453.00 	8421.00 	8584.00 	8808.00 	9009.00 	9472.00 	10155.00 	10968.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,DK	315.00 	309.00 	306.00 	303.00 	311.00 	315.00 	316.00 	346.00 	392.00 	388.00 	377.00 	378.00 	385.00 	401.00 	419.00 	429.00 	427.00 	434.00 	445.00 	450.00 	455.00 	460.00 	446.00 	445.00 	461.00 	472.00 	480.00 	478.00 	484.00 	498.00 	507.00 	494.00 	472.00 	451.00 	452.00 	458.00 	475.00 	487.00 	486.00 	492.00 	499.00 	501.00 
THS_PER,B-E,EMP_DC,EA	22736.25 	22590.12 	22325.25 	22254.42 	22563.37 	22765.04 	22684.75 	23374.85 	23982.82 	23847.79 	23551.03 	23687.17 	23962.39 	24320.20 	24687.95 	25035.35 	24481.46 	24314.91 	24301.40 	24050.44 	24116.23 	24362.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,EA12	21395.66 	21281.48 	21261.81 	21339.61 	21632.39 	21818.31 	21889.77 	22546.79 	23661.21 	23595.90 	23551.03 	23687.17 	23962.39 	24320.20 	24687.95 	25035.35 	25005.71 	24848.44 	24842.34 	24578.49 	24660.32 	24903.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
