unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,C,EMP_DC,AT	641.89 	631.49 	627.63 	626.87 	631.04 	622.91 	612.26 	625.13 	651.12 	644.85 	632.14 	631.29 	630.98 	636.84 	639.98 	654.73 	652.16 	653.90 	654.65 	652.76 	658.28 	671.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,BE	502.10 	502.00 	509.50 	523.00 	535.30 	543.10 	541.60 	559.90 	591.90 	592.60 	596.30 	601.80 	607.10 	618.90 	638.40 	662.00 	655.20 	648.40 	656.60 	657.40 	666.90 	677.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,BG	608.57 p	600.95 p	587.36 p	584.37 p	603.71 p	615.63 	624.40 	661.65 	745.37 	723.20 	699.41 	677.25 	662.74 	648.39 	648.22 	637.85 	651.98 	663.92 	759.10 	763.89 	798.00 	795.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,CH	676.43 	676.93 	675.32 	668.18 	680.09 	681.43 	667.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,CY	29.53 p	28.71 p	28.06 	29.45 	32.67 	35.24 	36.44 	37.80 	38.66 	38.59 	37.82 	37.49 	35.56 	34.67 	33.71 	34.32 	35.93 	37.33 	38.95 	40.15 	41.54 	43.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,CZ	1408.03 	1367.88 	1325.30 	1308.37 	1310.46 	1297.63 	1252.29 	1292.67 	1400.79 	1392.81 	1353.25 	1343.47 	1306.16 	1292.73 	1331.96 	1334.25 	1332.71 	1351.70 	1421.51 	1439.84 	1419.42 	1352.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,DE	7531.00 	7512.00 	7486.00 	7442.00 	7418.00 	7285.00 	7138.00 	7277.00 	7458.00 	7274.00 	7167.00 	7243.00 	7365.00 	7481.00 	7687.00 	7848.00 	7828.00 	7737.00 	7762.00 	7712.00 	7840.00 	8040.00 	8224.00 	8664.00 	9316.00 	10064.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,DK	289.00 	284.00 	280.00 	278.00 	283.00 	289.00 	289.00 	317.00 	364.00 	362.00 	352.00 	353.00 	360.00 	376.00 	393.00 	403.00 	401.00 	407.00 	416.00 	420.00 	425.00 	430.00 	419.00 	417.00 	430.00 	440.00 	449.00 	448.00 	453.00 	470.00 	482.00 	469.00 	448.00 	428.00 	429.00 	435.00 	453.00 	465.00 	464.00 	471.00 	478.00 	479.00 
THS_PER,C,EMP_DC,EA	20827.78 	20678.83 	20431.35 	20376.10 	20679.70 	20886.65 	20820.19 	21530.01 	22210.91 	22073.71 	21803.38 	21952.74 	22232.43 	22599.66 	22956.09 	23293.10 	22789.98 	22616.95 	22582.53 	22316.49 	22345.35 	22567.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,EA12	19623.71 	19506.96 	19481.94 	19552.81 	19844.10 	20036.75 	20104.43 	20782.09 	21917.88 	21842.20 	21803.38 	21952.74 	22232.43 	22599.66 	22956.09 	23293.10 	23238.96 	23075.36 	23046.23 	22767.75 	22810.79 	23031.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,EA19	20827.78 	20678.83 	20629.76 	20701.71 	21006.10 	21201.99 	21232.86 	21966.61 	23275.72 	23180.80 	23139.69 	23295.50 	23564.98 	23954.85 	24291.61 	24622.75 	24570.48 	24433.93 	24449.59 	24206.93 	24267.87 	24501.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,EE	118.70 	117.90 	111.40 	114.00 	112.60 	117.40 	104.30 	110.50 	132.20 	128.80 	132.30 	136.50 	135.00 	131.50 	127.50 	131.20 	129.80 	122.70 	130.00 	133.30 	147.70 	156.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
