unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,F,EMP_DC,AT	300.00 	297.19 	296.92 	295.35 	297.44 	294.86 	289.17 	286.76 	285.74 	277.91 	268.54 	266.43 	266.92 	269.00 	269.24 	276.81 	287.03 	289.70 	290.52 	293.06 	283.22 	287.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,BE	268.00 	266.20 	268.40 	272.40 	275.90 	274.50 	269.50 	267.80 	268.30 	261.60 	251.70 	241.50 	238.00 	239.00 	243.20 	249.30 	246.20 	241.30 	238.10 	236.80 	237.00 	240.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,BG	175.18 p	182.38 p	177.90 p	179.35 p	185.93 p	198.42 	224.97 	277.29 	297.71 	251.10 	213.70 	171.20 	146.57 	136.74 	133.98 	133.31 	134.45 	134.98 	147.96 	146.21 	165.89 	182.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,CH	343.09 	341.26 	337.69 	331.80 	329.91 	325.79 	317.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,CY	26.11 p	25.43 p	25.37 	28.02 	35.07 	40.80 	43.31 	45.42 	47.20 	42.16 	38.91 	36.98 	34.88 	32.90 	29.98 	28.61 	27.44 	27.60 	27.50 	28.25 	28.59 	28.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,CZ	407.95 	411.17 	411.47 	431.13 	441.54 	447.28 	471.48 	463.30 	444.22 	434.24 	437.44 	435.84 	424.76 	420.56 	417.71 	402.20 	416.71 	441.77 	460.56 	475.72 	504.79 	521.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,DE	2456.00 	2430.00 	2436.00 	2426.00 	2412.00 	2376.00 	2331.00 	2312.00 	2300.00 	2312.00 	2273.00 	2277.00 	2357.00 	2436.00 	2555.00 	2703.00 	2894.00 	2968.00 	3015.00 	3113.00 	3225.00 	3320.00 	3255.00 	3114.00 	3000.00 	2888.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,DK	180.00 	173.00 	167.00 	163.00 	165.00 	167.00 	168.00 	184.00 	206.00 	206.00 	199.00 	186.00 	175.00 	175.00 	178.00 	180.00 	180.00 	174.00 	170.00 	164.00 	158.00 	156.00 	154.00 	148.00 	154.00 	158.00 	168.00 	173.00 	182.00 	189.00 	189.00 	174.00 	169.00 	160.00 	163.00 	172.00 	197.00 	212.00 	215.00 	212.00 	218.00 	207.00 
THS_PER,F,EMP_DC,EA	9120.53 	9114.72 	9017.05 	9103.61 	9460.44 	9899.08 	10218.97 	10643.96 	11173.50 	11391.23 	10896.85 	10595.78 	10296.94 	10190.20 	10176.08 	10146.19 	9755.02 	9427.17 	9173.75 	9127.82 	9099.39 	9206.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,EA12	8634.11 	8625.63 	8639.21 	8787.31 	9127.32 	9550.34 	9897.76 	10308.07 	11022.12 	11309.09 	10896.85 	10595.78 	10296.94 	10190.20 	10176.08 	10146.19 	10049.79 	9712.60 	9463.73 	9392.24 	9364.74 	9472.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
