unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,J,EMP_DC,AT	115.13 	111.82 	109.59 	106.26 	105.05 	102.28 	97.49 	95.59 	95.29 	94.33 	92.73 	91.77 	92.58 	92.83 	95.59 	92.04 	88.06 	79.95 	75.45 	68.90 	64.76 	64.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,BE	113.70 	111.40 	110.90 	109.60 	109.90 	109.50 	107.50 	108.00 	103.30 	99.70 	96.40 	94.50 	91.30 	93.50 	97.00 	99.70 	92.20 	84.90 	79.90 	75.90 	71.80 	69.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,BG	90.20 p	84.96 p	78.94 p	77.58 p	75.96 p	75.74 	74.29 	68.46 	65.58 	68.37 	66.33 	63.70 	62.75 	60.22 	54.85 	53.39 	52.94 	50.33 	49.63 	51.25 	53.55 	51.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,CH	159.69 	157.40 	156.12 	149.36 	143.31 	139.23 	133.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,CY	10.44 p	9.98 p	9.75 	9.70 	10.11 	10.30 	9.94 	9.20 	9.22 	9.37 	8.83 	8.71 	8.17 	7.65 	7.38 	7.02 	6.54 	6.18 	5.84 	5.69 	5.37 	5.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,CZ	143.27 	136.27 	133.33 	129.07 	126.82 	124.53 	130.01 	133.63 	125.68 	116.85 	110.19 	103.86 	95.76 	93.96 	95.98 	92.21 	94.61 	91.38 	93.32 	96.33 	90.33 	79.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,DE	1233.00 	1213.00 	1230.00 	1218.00 	1203.00 	1176.00 	1162.00 	1189.00 	1207.00 	1189.00 	1170.00 	1149.00 	1136.00 	1121.00 	1139.00 	1136.00 	1081.00 	994.00 	973.00 	944.00 	945.00 	948.00 	956.00 	958.00 	962.00 	959.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,DK	104.00 	101.00 	98.00 	97.00 	96.00 	96.00 	98.00 	99.00 	99.00 	98.00 	95.00 	92.00 	93.00 	94.00 	99.00 	97.00 	93.00 	88.00 	81.00 	77.00 	73.00 	69.00 	71.00 	70.00 	71.00 	72.00 	71.00 	72.00 	70.00 	67.00 	65.00 	64.00 	62.00 	63.00 	62.00 	60.00 	63.00 	61.00 	61.00 	58.00 	58.00 	57.00 
THS_PER,J,EMP_DC,EA	4213.17 	4119.86 	4043.59 	3998.13 	3982.58 	3946.40 	3894.06 	3947.95 	3919.61 	3829.31 	3749.62 	3638.87 	3594.46 	3562.46 	3621.14 	3581.65 	3342.50 	3103.52 	2937.03 	2782.65 	2727.32 	2659.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,EA12	4017.24 	3932.33 	3891.71 	3879.11 	3868.04 	3833.31 	3803.86 	3856.58 	3881.78 	3806.80 	3749.62 	3638.87 	3594.46 	3562.46 	3621.14 	3581.65 	3414.33 	3174.16 	3008.50 	2848.70 	2792.11 	2722.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,EA19	4213.17 	4119.86 	4067.50 	4047.00 	4032.66 	3993.41 	3948.82 	4005.06 	4032.64 	3947.96 	3880.98 	3768.32 	3722.20 	3683.51 	3744.10 	3709.35 	3541.16 	3295.07 	3131.52 	2968.68 	2911.24 	2840.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
