unit,coico,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,C083,AT	0 	2172.9 	2220.7 	2469.8 	2667.5 	2695.0 	2712.9 	3001.2 	3109.0 	3085.6 	3059.9 	3219.8 	2909.5 	2724.1 	2489.9 	2330.0 	2210.7 	1824.7 	1515.7 	1280.1 	1181.4 	1126.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,BE	0 	4932.1 	5052.7 	4993.1 	4851.6 	4391.0 	4427.8 	4261.9 	4087.8 	4037.0 	3883.8 	3943.0 	3885.3 	3801.7 	3429.7 	3066.9 	2600.0 	2311.2 	1966.7 	1763.9 	1637.0 	1619.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,BG	0 	1674.5 	1612.6 	1541.6 	1584.2 	1472.7 	1444.9 	1401.8 	1319.7 	971.4 	728.0 	589.8 	554.5 	562.6 	533.5 	486.5 	497.1 	449.4 	397.7 	390.9 	388.7 	270.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,CY	0 	401.5 	390.8 	404.5 	416.4 	422.0 	405.9 	380.9 	382.6 	345.4 	331.4 	306.9 	307.0 	299.1 	232.0 	216.1 	192.3 	155.0 	119.0 	103.2 	91.3 	78.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,CZ	0 	2445.0 	2389.6 	2169.1 	1884.5 	1881.7 	1876.0 	1884.2 	1771.7 	1701.2 	1640.4 	1504.2 	1583.7 	1553.3 	1342.1 	1129.5 	932.3 	857.9 	861.0 	935.0 	973.6 	889.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,DE	0 	42222.5 	40472.6 	39504.1 	39604.9 	37412.2 	36004.5 	34841.5 	33765.0 	33282.5 	33390.5 	32152.0 	30830.6 	29091.6 	28335.5 	28036.7 	22095.9 	17494.6 	14621.4 	13710.5 	11762.7 	11658.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,DK	0 	3426.8 	2873.5 	2451.8 	2588.9 	2366.6 	2355.7 	2203.3 	2377.8 	2171.0 	1887.6 	1848.1 	1855.7 	1683.1 	1418.5 	1363.0 	1253.3 	1161.3 	1065.0 	1007.9 	893.4 	865.5 	860.8 	793.2 	797.5 	713.9 	695.6 	719.6 	682.8 	664.0 	647.3 	609.4 	570.7 	521.2 	529.0 	518.0 	487.1 	463.3 	427.6 	403.9 	369.9 	331.0 
CLV05_MEUR,C083,EE	0 	348.6 	347.9 	320.4 	282.4 	268.9 	260.5 	276.1 	293.3 	191.3 	173.0 	147.6 	132.1 	118.4 	103.9 	100.5 	80.3 	68.6 	67.3 	62.0 	59.3 	44.2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,EL	0 	5649.9 	5737.5 	6042.0 	5299.0 	5925.1 	6943.4 	7148.8 	6016.8 	5444.0 	5291.4 	4067.2 	3642.5 	3600.9 	3765.0 	3192.7 	2605.4 	2268.7 	1551.1 	1355.8 	962.1 	821.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,ES	0 	16992.1 	16825.2 	16733.8 	17085.6 	17524.8 	17295.6 	17049.4 	16890.6 	15763.9 	14415.0 	13225.0 	12023.9 	10587.6 	10397.7 	9168.4 	7693.0 	6564.3 	5744.1 	4988.3 	4482.7 	3884.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
